country,genre,averageRating,numVotes
United States,Documentaries,6.907951807228909,4926.238554216868
United States,Children & Family Movies,5.959807073954984,49693.70739549839
United States,Dramas,6.474811083123431,83741.93828715365
United States,Independent Movies,6.265405405405405,50036.994594594595
United States,International Movies,6.549659863945579,50293.86394557823
United States,Comedies,5.932786885245905,68749.24262295081
United States,Thrillers,5.942553191489363,85376.41843971632
United States,Romantic Movies,6.120673076923077,66816.79326923077
United States,Horror Movies,5.477720207253884,62786.64766839378
United States,Sci-Fi & Fantasy,6.1000000000000005,189642.76506024096
United States,Action & Adventure,6.071128608923886,156283.69553805774
United States,Classic Movies,7.386666666666665,204931.73333333334
United States,Anime Features,6.275,6383.75
United States,Sports Movies,6.6911764705882355,45222.990196078434
United States,Music & Musicals,6.664655172413796,26019.612068965518
United States,Cult Movies,6.716326530612246,204023.32653061225
United States,Faith & Spirituality,5.7918918918918925,14100.675675675675
United States,LGBTQ Movies,6.505172413793104,33783.43103448276
United States,Stand-Up Comedy,6.8047619047619055,2709.1428571428573
United States,Movies,6.20330261136713,63442.13671274961
Ghana,Documentaries,0,0
Ghana,Children & Family Movies,0,0
Ghana,Dramas,5.859999999999999,373.8
Ghana,Independent Movies,6.7,698.0
Ghana,International Movies,5.859999999999999,373.8
Ghana,Comedies,5.15,128.5
Ghana,Thrillers,0,0
Ghana,Romantic Movies,0,0
Ghana,Horror Movies,0,0
Ghana,Sci-Fi & Fantasy,0,0
Ghana,Action & Adventure,0,0
Ghana,Classic Movies,0,0
Ghana,Anime Features,0,0
Ghana,Sports Movies,0,0
Ghana,Music & Musicals,0,0
Ghana,Cult Movies,0,0
Ghana,Faith & Spirituality,0,0
Ghana,LGBTQ Movies,0,0
Ghana,Stand-Up Comedy,0,0
Ghana,Movies,5.859999999999999,373.8
Burkina Faso,Documentaries,0,0
Burkina Faso,Children & Family Movies,0,0
Burkina Faso,Dramas,7.0,683.0
Burkina Faso,Independent Movies,7.0,683.0
Burkina Faso,International Movies,7.0,683.0
Burkina Faso,Comedies,0,0
Burkina Faso,Thrillers,0,0
Burkina Faso,Romantic Movies,0,0
Burkina Faso,Horror Movies,0,0
